City,IATA,Latitude,Longitude,Altitude
Tallinn,TLL,59.41329956049999,24.8327999115,131
Amsterdam,AMS,52.308601,4.76389,-11
Athens,ATH,37.9364013672,23.9444999695,308
Berlin,TXL,52.5597,13.2877,122
Brussels,BRU,50.9014015198,4.48443984985,184
Copenhagen,CPH,55.617900848389,12.656000137329,17
Dublin,DUB,53.421299,-6.27007,242
Düsseldorf,NRN,51.6024017334,6.14216995239,106
Edinburgh,EDI,55.95000076293945,-3.372499942779541,135
Frankfurt,FRA,50.033333,8.570556,364
Girona,GRO,41.901000977,2.7605500221,468
Helsinki,HEL,60.317199707031,24.963300704956,179
Istanbul,IST,41.275278,28.751944,325
Kiev,IEV,50.40194,30.45194,587
Kuressaare,URE,58.22990036010742,22.50950050354004,14
Kutaisi,KUT,42.176700592,42.4826011658,223
Kärdla,KDL,58.99079895019531,22.830699920654297,18
London,LGW,51.148102,-0.190278,202
Malaga,AGP,36.67490005493164,-4.499110221862793,53
Malta,MLA,35.857498,14.4775,300
Milan,BGY,45.673901,9.70417,782
Minsk,MSQ,53.882499694824,28.030700683594,670
Moscow,SVO,55.972599,37.4146,622
Munich,MUC,48.353802,11.7861,1487
Nice,NCE,43.6584014893,7.215869903560001,12
Oslo,OSL,60.121,11.0502,681
Paphos,PFO,34.71799850463867,32.48569869995117,41
Paris,CDG,49.012798,2.55,392
Riga,RIX,56.92359924316406,23.971099853515625,36
Rome,FCO,41.8002778,12.2388889,13
Salzburg,SZG,47.7933006287,13.0043001175,1411
Stockholm,ARN,59.651901245117,17.918600082397,137
Zürich,ZRH,47.464699,8.54917,1416
Warsaw,WAW,52.1656990051,20.9671001434,362
Vienna,VIE,48.110298156738,16.569700241089,600
Vilnius,VNO,54.634102,25.285801,648
